abw,1.81,1.785,1.762,1.673,2.03,1.916,1.9,1.835,2.253,2.069,1.98,1.965,2.183,2.092,2.046,1.974,2.007,1.917,1.898,1.853,1.904,1.853,1.666,1.631,1.753,1.685,1.602,1.552,1.364,1.362,1.204,1.168,1.064,0.984,0.901,0.861,0.618,0.546,0.489,0.485,1.799,1.69,1.665,1.649,1.738,1.488,1.482,1.439,1.156,1.054,1.046,1.039,0.572,0.472,0.44,0.437,2.108,2.044,2.037,1.94,1.658,1.61,1.563,1.553,1.075,1.072,1.038,0.974,1.855,1.808,1.709,1.669,1.841,1.828,1.761,1.752,1.78,1.758,1.748,1.655,1.895,1.77,1.687,1.679,2.018,1.855,1.846,1.83,1.92,1.853,1.847,1.823,2.062,1.891,1.852,1.728,1.828,1.815,1.772,1.619,1.445,1.402,1.37,1.315,1.407,1.368,1.364,1.216,1.314,1.283,1.102,1.027,0.817,0.632,0.624,0.605,1.892,1.798,1.794,1.741,1.133,1.007,0.885,0.848,0.749,0.735,0.585,0.525,1.369,1.347,1.317,1.281,1.276,1.274,1.268,1.233,1.319,1.198,1.191,1.174,1.519,1.464,1.45,1.39,1.619,1.554,1.55,1.452,1.312,1.308,1.284,1.267,1.472,1.373,1.34,1.307,1.507,1.497,1.45,1.405,1.4,1.375,1.357,1.344,1.982,1.918,1.87,1.791,1.483,1.46,1.386,1.34
acm,1.709,1.589,1.507,1.6,1.756,1.647,1.668,1.806,1.846,1.761,1.849,1.801,1.993,1.932,2.02,1.835,1.796,1.759,2.017,1.836,1.823,1.882,1.866,1.948,1.698,1.626,1.643,1.646,1.457,1.588,1.595,1.367,1.373,1.101,1.283,1.163,0.888,0.706,0.64,0.639,1.643,1.604,1.654,1.551,1.405,1.581,1.457,1.496,1.13,1.256,1.158,1.198,0.554,0.462,0.429,0.515,1.955,1.891,2.04,1.909,1.721,1.707,1.81,1.86,1.507,1.319,1.363,1.327,1.711,1.691,1.596,1.657,1.641,1.796,1.654,1.693,1.626,1.717,1.744,1.677,1.838,1.738,1.649,1.663,1.596,1.612,1.695,1.8,1.538,1.599,1.835,1.597,1.746,1.731,1.731,1.726,1.732,1.613,1.715,1.72,1.553,1.316,1.401,1.427,1.428,1.482,1.428,1.469,1.303,1.259,1.224,1.316,1.032,0.946,0.844,0.864,2.013,1.821,1.812,2.004,1.136,1.046,0.985,0.993,0.596,0.603,0.704,0.654,1.396,1.427,1.237,1.477,1.523,1.304,1.365,1.364,1.46,1.371,1.592,1.362,1.558,1.531,1.368,1.403,1.745,1.799,1.813,1.855,1.468,1.428,1.539,1.504,1.502,1.395,1.495,1.432,1.673,1.556,1.607,1.686,1.504,1.636,1.494,1.542,2.088,2.052,2.197,2.158,1.496,1.389,1.381,1.419
amn,1.931,2.114,1.968,1.855,1.973,2.065,1.833,1.928,1.941,2.16,2.004,1.982,2.112,2.101,2.118,2.039,1.912,2.055,1.93,2.131,1.823,1.984,1.856,1.936,1.796,1.696,1.707,1.635,1.362,1.115,1.126,1.161,0.636,0.777,0.752,0.793,0.335,0.369,0.344,0.528,1.581,1.736,1.578,1.793,1.683,1.661,1.641,1.745,1.339,1.268,1.538,1.381,0.811,0.572,0.577,0.585,2.025,1.923,1.912,2.133,1.663,1.912,1.759,1.754,0.988,0.966,1.073,0.947,1.774,1.756,1.753,1.768,1.858,1.799,1.762,1.889,1.847,1.78,1.756,1.912,1.929,1.823,1.903,1.773,1.931,1.896,2.008,1.803,1.76,1.925,1.981,1.831,1.881,2.005,2.01,1.996,1.678,1.748,1.795,1.771,1.778,1.783,1.597,1.8,1.583,1.661,1.615,1.673,1.37,1.405,1.233,1.225,0.98,0.964,1.003,1.016,1.987,2.004,2.013,1.896,0.793,0.895,1.029,0.844,0.435,0.589,0.672,0.695,1.315,1.451,1.521,1.562,1.442,1.481,1.511,1.382,1.64,1.604,1.411,1.426,1.765,1.819,1.625,1.796,1.783,1.771,1.949,1.742,1.425,1.566,1.641,1.568,1.51,1.673,1.5,1.593,1.731,1.761,1.933,1.673,1.628,1.785,1.494,1.683,2.145,2.264,2.072,2.211,1.608,1.777,1.526,1.651
bam,1.521,1.644,1.544,1.636,1.677,1.813,1.849,1.717,1.873,2.101,2.146,2.151,2.014,1.927,1.927,1.91,1.761,1.832,1.845,2.014,1.807,1.677,1.904,1.77,1.484,1.43,1.563,1.524,1.186,1.372,1.491,1.082,0.761,0.866,0.74,0.851,0.215,0.461,0.631,0.496,1.444,1.579,1.612,1.694,1.456,1.547,1.614,1.447,1.075,1.094,1.1,1.146,0.364,0.499,0.339,0.415,2.073,1.685,1.788,1.944,1.465,1.579,1.646,1.642,1.021,1.08,0.807,0.985,1.592,1.485,1.605,1.644,1.853,1.677,1.813,1.849,1.244,1.666,1.616,1.722,1.645,1.72,1.807,1.718,1.827,1.754,1.792,1.878,1.546,1.605,1.712,1.655,1.735,1.707,1.88,1.738,1.649,1.459,1.539,1.709,1.343,1.721,1.425,1.203,1.268,1.551,1.229,1.301,0.958,0.941,1.005,0.93,0.473,0.374,0.446,0.639,1.569,1.793,1.693,1.751,0.695,0.784,0.833,0.832,0.64,0.641,0.596,0.68,1.332,1.372,1.311,1.434,1.03,1.288,1.358,1.284,1.054,1.119,1,1.132,1.385,1.331,1.464,1.392,1.346,1.47,1.396,1.393,1.189,1.249,1.309,1.234,1.423,1.321,1.283,1.465,1.422,1.031,1.495,1.4,1.302,1.354,1.405,1.325,1.877,1.962,1.812,1.929,1.31,1.378,1.435,1.421
brb,1.801,2.088,1.965,2.051,1.995,2.195,2.094,2.158,2.205,2.247,2.359,2.473,2.29,2.347,2.374,2.373,2.232,2.277,2.154,2.171,1.976,2.326,2.072,2.087,1.876,1.843,1.832,2.184,1.614,1.184,1.492,1.363,0.833,0.824,1.005,1.238,0.664,0.553,0.526,0.47,1.977,2.112,1.993,2.016,2.058,1.758,1.961,2.002,1.317,1.434,1.46,1.442,0.561,0.578,0.539,0.738,2.151,2.326,2.141,2.41,2.018,1.884,2.004,1.836,1.125,1.156,1.107,1.122,2.12,2.124,2.165,2.461,2.163,2.307,2.222,2.338,1.989,2.045,2.07,2.12,1.971,2.287,2.091,2.047,2.088,2.293,2.182,2.225,2.263,2.199,2.016,2.297,2.154,2.264,2.302,2.274,2.351,2.274,2.071,2.126,1.443,1.397,1.556,1.32,1.563,1.783,1.66,1.707,1.3,1.327,1.275,1.339,1.024,0.945,0.976,0.953,2.117,2.066,2.155,2.197,1.159,1.432,1.209,1.36,0.774,0.859,0.752,0.722,1.579,1.703,1.664,1.613,1.429,1.548,1.45,1.526,1.454,1.537,1.514,1.454,1.778,1.744,1.72,1.774,1.627,1.688,1.782,1.711,1.44,1.616,1.641,1.73,1.522,1.66,1.717,1.674,1.644,1.64,1.764,1.787,1.76,1.644,1.736,1.734,2.174,2.196,2.178,2.206,1.649,1.707,1.711,1.994
btb,1.806,1.936,1.765,1.973,2.098,2.442,2.542,2.405,2.442,2.509,2.555,2.418,2.413,2.595,2.879,2.631,2.314,2.262,2.532,2.361,2.101,2.37,2.194,1.925,1.687,1.849,2.031,1.673,1.496,1.362,1.39,1.487,1.2,1.319,1.272,1.218,0.859,0.904,0.635,0.564,1.84,1.897,2.22,1.813,1.604,1.762,1.742,1.733,1.118,1.196,1.331,1.187,0.474,0.409,0.664,0.618,2.537,2.268,2.466,2.404,1.684,1.644,1.977,2.023,1.234,1.087,1.15,1.052,1.91,2.058,1.992,2.052,1.945,2.142,1.927,2.082,2.002,2.02,1.959,1.989,2.142,2.201,2.079,2.069,2.373,2.555,2.491,2.397,2.114,2.305,2.328,2.505,2.107,2.045,2.362,2.095,2.208,2.125,2.037,2.246,2.031,1.823,1.922,2.021,1.726,1.456,1.469,1.537,1.387,1.333,1.316,1.337,0.858,0.932,0.99,0.932,1.854,2.018,2.187,2.092,1.195,1.124,0.994,1.159,0.56,0.579,0.564,0.531,1.544,1.72,1.56,1.645,1.424,1.526,1.793,1.575,1.312,1.424,1.467,1.599,1.91,1.816,2.024,1.728,1.704,1.56,1.691,1.84,1.358,1.611,1.529,1.654,1.623,1.463,1.74,1.575,1.699,1.673,1.726,1.746,1.615,1.813,2.02,1.645,2.534,2.363,2.696,2.635,1.61,1.438,1.567,1.711
ccc,1.967,2.148,1.978,2.193,2.216,2.185,2.138,2.309,2.216,2.311,2.343,2.294,2.29,2.342,2.418,2.481,2.216,2.323,2.29,2.34,1.936,1.901,1.733,2.069,1.589,1.661,1.428,1.288,1.126,1.306,1.308,1.199,0.882,1.228,1.237,1.213,0.653,0.718,0.77,0.39,1.976,2.009,1.977,2.037,1.714,1.669,1.752,1.719,1.174,1.285,1.204,1.38,0.424,0.69,0.517,0.532,2.141,2.009,2.187,2.089,1.556,1.481,1.529,1.604,0.71,0.832,1.054,0.981,1.707,1.871,1.695,1.82,1.779,1.824,1.775,1.903,1.95,1.86,2.021,1.839,1.912,1.839,1.914,1.927,2.074,2.007,1.982,2.146,2.2,2.173,2.303,2.164,2.137,2.193,2.111,2.161,1.94,2.058,2.146,2.075,2.148,2.148,2.193,2.318,1.854,1.884,1.749,1.977,1.227,1.379,1.154,1.193,1.069,0.895,1.089,0.914,2.148,2.192,2.148,2.01,0.914,0.876,0.855,1.044,0.642,0.699,0.761,0.629,1.465,1.358,1.46,1.301,1.596,1.671,1.514,1.732,1.52,1.508,1.538,1.499,1.652,1.682,1.803,1.785,1.774,1.772,1.864,1.65,1.547,1.441,1.458,1.449,1.628,1.574,1.643,1.569,1.669,1.937,1.81,1.736,1.865,1.795,1.657,1.764,2.185,2.216,2.143,2.203,1.707,1.692,1.638,1.709
cvr,1.633,1.656,1.843,1.697,1.972,1.809,2.059,2.008,2.075,2.039,2.153,2.014,2.158,1.965,2.147,2.101,2.233,1.976,1.994,1.94,1.974,1.856,1.979,1.931,1.699,1.785,1.822,1.8,1.692,1.531,1.651,1.419,1.363,1.182,1.387,1.265,1.006,0.834,0.803,0.908,1.773,1.802,1.98,1.755,1.55,1.632,1.573,1.451,1.193,1.313,1.192,1.326,0.733,0.692,0.651,0.679,2.019,1.996,2.06,2.101,1.869,1.774,1.994,2.015,1.349,1.446,1.162,1.356,1.769,1.87,1.816,1.777,1.797,1.805,1.963,1.954,1.938,1.767,1.825,1.772,1.883,1.797,1.856,1.815,2.054,2.012,1.88,2.005,1.882,1.852,2.157,1.789,1.803,1.992,1.825,2.186,1.919,1.735,1.84,1.948,1.442,1.299,1.284,1.547,1.367,1.282,1.377,1.599,1.077,1.263,1.214,1.226,0.785,0.793,0.876,0.71,1.947,1.878,2.003,1.874,0.968,1.161,1.123,0.998,0.748,0.896,0.882,0.829,1.508,1.473,1.551,1.454,1.312,1.25,1.323,1.386,1.345,1.271,1.295,1.253,1.46,1.382,1.47,1.308,1.5,1.631,1.569,1.493,1.466,1.38,1.413,1.404,1.449,1.261,1.33,1.388,1.377,1.578,1.352,1.649,1.417,1.372,1.493,1.554,1.988,2.073,2.03,2.13,1.413,1.444,1.536,1.454
cwt,1.728,1.696,1.696,1.706,1.704,1.723,1.74,1.683,1.849,1.822,1.816,1.846,1.869,1.932,1.797,1.96,1.721,1.81,1.723,1.754,1.552,1.592,1.565,1.576,1.58,1.488,1.387,1.378,1.169,1.176,0.934,1.151,0.815,0.773,0.734,0.792,0.374,0.521,0.237,0.359,1.553,1.583,1.521,1.526,1.521,1.491,1.524,1.458,1.1,0.941,0.678,0.98,0.318,0.22,0.143,0.145,1.683,1.598,1.646,1.756,1.26,1.405,1.395,1.406,0.804,0.699,0.851,0.853,1.453,1.574,1.568,1.542,1.501,1.654,1.686,1.654,1.473,1.569,1.514,1.467,1.472,1.699,1.597,1.497,1.69,1.655,1.816,1.683,1.579,1.716,1.542,1.55,1.548,1.606,1.648,1.557,1.49,1.436,1.533,1.654,1.528,1.626,1.752,1.576,1.419,1.496,1.661,1.51,1.032,0.99,1.058,0.978,0.552,0.628,0.515,0.667,1.991,1.836,1.971,1.86,0.583,0.475,0.573,0.58,0.485,0.431,0.41,0.334,1.008,1.058,1.151,0.922,1.096,0.98,1.131,1.102,1.151,1.02,1.093,1.2,1.427,1.464,1.483,1.308,1.492,1.572,1.6,1.638,1.215,1.266,1.337,1.309,1.243,1.206,1.33,1.174,1.436,1.637,1.682,1.472,1.257,1.296,1.304,1.399,1.779,1.847,1.917,1.82,1.389,1.444,1.409,1.406
hab,2.052,1.851,1.885,1.866,2.029,2.218,1.92,2.174,1.982,2.094,1.999,2.16,2.34,2.245,2.269,2.167,2.06,2.041,2.217,1.995,1.914,1.866,1.936,2.002,1.705,1.744,1.855,1.822,1.446,1.606,1.526,1.512,1.326,1.349,1.024,1.188,0.919,0.859,0.93,0.674,1.819,1.897,2.041,1.851,1.747,1.858,1.676,1.742,1.349,1.387,1.387,1.396,0.734,0.885,0.812,0.802,2.152,2.025,2.139,1.98,1.898,2.048,1.898,1.781,1.192,1.389,1.207,1.266,1.844,1.747,1.759,2.035,1.862,2.052,2.041,1.844,1.98,1.832,1.854,1.887,1.85,2.044,1.952,1.989,1.948,2.05,2.084,1.927,1.981,2.033,1.888,1.998,2.089,2.331,2.384,2.193,2.09,1.944,1.915,1.902,1.794,1.709,1.737,1.732,1.798,1.645,1.522,1.686,1.329,1.288,1.441,1.308,0.832,1.017,0.985,1.11,2.208,2.187,2.102,2.114,0.865,1.046,1.176,1.21,0.713,0.783,0.794,0.785,1.591,1.632,1.466,1.654,1.442,1.492,1.499,1.627,1.243,1.327,1.452,1.321,1.657,1.725,1.696,1.636,1.661,2.041,1.756,1.647,1.489,1.443,1.545,1.659,1.55,1.626,1.561,1.728,1.803,1.798,1.838,1.877,1.645,1.628,1.647,1.547,2.164,2.019,2.218,2.11,1.721,1.519,1.592,1.411
